Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,3.440603,12.132485,-45,top
C2,1nF,C_0805_2012Metric,8.673207,28.749488,45,top
C3,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,13.69,24.3,135,top
C4,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,13.941152,19.80459,-45,top
C5,1nF,C_0805_2012Metric,4.960893,18.107542,45,top
C6,1nF,C_0805_2012Metric,-3.206187,16.870094,-135,top
C7,1nF,C_0805_2012Metric,7.365049,20.511702,-135,top
C8,100nF,C_0402_1005Metric,26.49,12.2,90,top
C9,100uF,CAPAE660X800N,17.99,26.7,-45,top
C10,10uF,C_0805_2012Metric,23.59,30.4,180,top
C11,1uF,C_0402_1005Metric,27.49,12.2,90,top
C12,1uF,C_0402_1005Metric,29.69,11.95,0,top
C13,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,16.34532,18.814645,45,top
C14,100nF,C_0402_1005Metric,25.19,14.2,90,top
C15,100nF,C_0402_1005Metric,20.29,20.2,90,top
C16,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,6.463502,3.841663,135,top
C17,0.47uF,C_0603_1608Metric,7.577174,9.127281,135,top
C18,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1.29,0.6,-135,top
C19,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,5.438197,1.472856,45,top
C20,1nF,C_0805_2012Metric,7.170609,-7.542756,135,top
C21,0.1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,13.092628,-9.045358,45,top
C22,1nF,C_0805_2012Metric,-3.471349,-3.830445,135,top
C23,1nF,C_0805_2012Metric,4.766445,-5.138593,-45,top
C24,100uF,CAPAE660X800N,-1.01,4.9,45,top
C25,100nF,C_0402_1005Metric,19.79,5.8,180,top
C26,30pF,C_0402_1005Metric,25.84,-2.6,-90,top
C27,100nF,C_0402_1005Metric,31.39,5.4,0,top
C28,100nF,C_0402_1005Metric,25.821,0.3525,-90,top
C29,100nF,C_0402_1005Metric,26.79,0.35,-90,top
C30,10uF,C_0805_2012Metric,15.24,-11.1,90,top
C31,100nF,C_0402_1005Metric,20.69,10.1,90,top
C32,100nF,C_0402_1005Metric,30.5775,10.9,0,top
C33,30pF,C_0402_1005Metric,19.1125,-2.69825,90,top
C34,100nF,C_0402_1005Metric,30.5925,9.75,0,top
C35,0.47uF,C_0603_1608Metric,16.150865,-4.926461,-135,top
C36,1nF,C_0805_2012Metric,8.408045,-15.709839,-45,top
C37,10uF,C_0805_2012Metric,23.69,-14.95,-90,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,21.04,32.2,0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,29.24,-13.75,0,top
FID3,Fiducial,Fiducial_0.5mm_Mask1mm,-1.66,11.05,0,top
IC1,W25Q32JVZPIQ,SON127P600X500X80-9N-D,21.435,15.25,90,top
J1,Motor,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,0.081859,20.158141,45,top
J2,AUX2,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,35.465,15.125,90,top
J3,UART0,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,29.19,17.1,-90,top
J4,Motor,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,5.119999,-12.421793,135,top
J5,AUX1,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,35.465,6.3,90,top
J6,DEBUG,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,29.19,-4.2,-90,top
J7,CTRL,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,35.465,-2.525,90,top
J8,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,19.79,-17.15,180,top
L1,L_Ferrite,L_0805_2012Metric,-1.933393,15.526594,45,top
L2,L_Ferrite,L_0805_2012Metric,10.016702,27.476693,-135,top
L3,L_Ferrite,L_0805_2012Metric,2.415298,15.774091,45,top
L4,L_Ferrite,L_0805_2012Metric,9.698525,23.057286,-135,top
L5,L_Ferrite,L_0805_2012Metric,-2.198556,-2.486942,-45,top
L6,L_Ferrite,L_0805_2012Metric,2.220861,-2.80514,-45,top
L7,L_Ferrite,L_0805_2012Metric,9.504061,-10.08834,135,top
L8,L_Ferrite,L_0805_2012Metric,9.751548,-14.437047,135,top
R1,1M,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,16.84029,17.541847,-135,top
R2,10k,R_0402_1005Metric,18.09,16.4,-90,top
R3,0.1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,14.188643,-7.100814,135,top
R4,0.1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.420523,11.071832,45,top
R5,1M,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,7.700939,4.301283,-45,top
R6,0.1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,6.092261,10.400069,45,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,12.880515,8.632312,135,top
R8,1.5k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,13.552257,9.30406,-45,top
R9,1.5k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,15.974088,1.048592,45,top
R10,0.1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,14.860395,-6.429063,135,top
R11,1k,C_0402_1005Metric,24.3625,0.68325,180,top
R12,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,16.645839,0.37684,-135,top
R13,1.5k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,30.29,-0.2,180,top
U1,DRV8825PWP,IC_TPS61196PWPRQ1,11.324864,14.077027,-45,top
U2,DRV8825PWP,IC_TPS61196PWPRQ1,11.201117,-1.178795,45,top
U3,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,20.74,-9.65,0,top
U4,RP2040,RP2040-QFN-56,25.44,6.8375,0,top
VR1,TC33X-2-103E,TC33X2503E,25.39,22.85,0,top
Y1,ABM8-12.000MHZ-20-B1U-T,ABM810000MHZ12D2W,22.4625,-2.24825,0,top
